"job_title_full","salary","company","user_id"
" Growth Marketing Manager - New Ventures ",NA,"f","U68"
" Product / UX Engineer - NLP",NA,"a","U69"
"Lead Brand Manager - New Ventures ",NA,"d","U70"
"Junior SEO Marketing Manager - New Ventures  (m/f/d)",NA,"c","U71"
" Online Marketing Manager",NA,"h","U72"
"Junior Product Owner - NLP",67000,"a","U73"
" Marketing Manager - (Remote) m/f/d",NA,"a","U74"
"Lead Software Developer - Deep Learning",NA,"d","U75"
"Lead Business Development Manager",55000,"e","U76"
"Junior Brand Manager - (Remote) m/f/d",NA,"c","U77"
"Junior Onboarding Manager - New Ventures (M/F/D)",NA,"c","U78"
"Lead Backend Engineer - Deep Learning",NA,"d","U79"
" Operations Manager - France",NA,"c","U80"
" Online Marketing Manager",NA,"b","U81"
"Senior UI Designer",59000,"g","U82"
"Junior Reserch Scientist - (Internal Audit) (M/F/D)",NA,"c","U83"
" Manager Policy Affairs - APAC",57000,"a","U84"
"Senior Product / UX Engineer - Pricing (M/F/D)",65000,"e","U85"
"Lead Shop Manager - New Ventures",52000,"f","U86"
"Lead Onboarding Manager",NA,"d","U87"
"Junior Shop Manager - Global Transformation (M/F/D)",NA,"f","U88"
"Junior Product / UX Engineer - NLP (m/f/d)",NA,"b","U89"
"Lead Backend Developer - Deep Learning",NA,"a","U90"
"Junior Marketing Analyst - (Remote)",68000,"g","U91"
"Junior Software Engineer",NA,"e","U92"
" Growth Hacker - Mobile",61000,"d","U93"
"Lead Marketing Manager - (Remote)",NA,"d","U94"
"Lead Product Owner - Checkout m/f/d",NA,"g","U95"
"Junior Shop Manager - Global Transformation (M/F/D)",NA,"c","U96"
"Junior Data Scientist - Deep Learning",53000,"b","U97"
"Junior Performance Marketing Manager - (Remote)",NA,"c","U98"
"Junior SEO Manager - New Ventures ",57000,"a","U99"
"Senior Manager Policy Affairs - France (m/f/d)",NA,"d","U100"
"Lead Performance Marketing Manager - Mobile (M/F/D)",62000,"c","U101"
"Senior Operations Manager - APAC (M/F/D)",51000,"d","U102"
" Operations Manager - France",NA,"g","U103"
" Operations Manager - France",NA,"b","U104"
"Junior Backend Engineer - (Remote)",NA,"e","U105"
"Junior AI Researcher - Pricing & Forecasting",NA,"a","U106"
"Senior SEO Marketing Manager - (Remote)",55000,"h","U107"
"Lead Shop Manager - New Ventures",NA,"h","U108"
"Junior Product / UX Engineer - NLP (m/f/d)",NA,"a","U109"
" Reserch Scientist - Supplier Financing m/f/d",NA,"b","U110"
"Senior Marketing Manager - New Ventures ",NA,"d","U111"
" Machine Learning Engineer - NLP M/F/D",NA,"g","U112"
"Senior Operations Manager - APAC (M/F/D)",54000,"d","U113"
"Junior SEO Marketing Manager - New Ventures  (m/f/d)",NA,"c","U114"
"Junior SEO Marketing Manager - New Ventures  (m/f/d)",NA,"b","U115"
"Senior Shop Manager - New Ventures",NA,"c","U116"
" Frontend Engineer - Deep Learning (m/f/d)",62000,"a","U117"
" Machine Learning Engineer - NLP M/F/D",NA,"f","U118"
" Business Development Manager - EU",56000,"d","U119"
"Senior Frontend Engineer - (Remote) (m/f/d)",66000,"d","U120"
" Machine Learning Engineer - NLP M/F/D",66000,"g","U121"
"Lead Product / UX Engineer - Pricing",NA,"d","U122"
"Senior Reserch Scientist - NLP",53000,"b","U123"
" Data Science Manager M/F/D",NA,"a","U124"
"Lead Big Data Analyst - Pricing Team",NA,"d","U125"
"Lead Growth Hacker - New Ventures ",NA,"e","U126"
" Brand Marketing Manager - (Remote)",NA,"h","U127"
"Junior Operations Manager - New Ventures",NA,"f","U128"
" Product Manager - Pricing & Forecasting",NA,"d","U129"
"Lead Manager Policy Affairs - New Ventures M/F/D",69000,"e","U130"
"Lead Brand Manager - New Ventures ",NA,"f","U131"
" Backend Engineer - (Remote)",62000,"a","U132"
"Junior AI Researcher - Pricing & Forecasting",NA,"g","U133"
"Lead UI Designer - (Remote)",NA,"g","U134"
"Senior Backend Developer m/f/d",NA,"g","U135"
"Junior Culture Manager - France",67000,"g","U136"
" Reserch Scientist - Supplier Financing m/f/d",NA,"a","U137"
"Lead Marketing Analyst - New Ventures  m/f/d",69000,"b","U138"
"Senior Frontend Engineer - (Remote) (m/f/d)",NA,"d","U139"
"Lead Shop Manager - New Ventures",NA,"f","U140"
"Senior Brand Marketing Manager - New Ventures ",70000,"b","U141"
" SEO Marketeer - New Ventures ",NA,"e","U142"
"Lead AI Researcher - Deep Learning",NA,"c","U143"
" Offline Marketing Manager - (Remote)",59000,"a","U144"
"Junior Business Development Manager - France",NA,"e","U145"
" SEO Marketeer - New Ventures ",NA,"d","U146"
"Junior SEO Marketing Manager - New Ventures  (m/f/d)",NA,"e","U147"
"Junior Machine Learning Engineer - Supplier Financing",NA,"d","U148"
"Senior Data Science Manager m/f/d",NA,"f","U149"
" Product Consultant - Pricing (M/F/D)",NA,"a","U150"
" Reserch Scientist - Supplier Financing m/f/d",NA,"b","U151"
"Lead Brand Marketing Manager - New Ventures  m/f/d",51000,"g","U152"
" Marketing Analyst - New Ventures ",55000,"h","U153"
"Junior Backend Engineer - (Remote)",62000,"a","U154"
"Senior Growth Hacker - New Ventures  (M/F/D)",NA,"f","U155"
"Senior Shop Manager - New Ventures",57000,"h","U156"
"Senior Operations Manager - APAC (M/F/D)",NA,"d","U157"
"Junior Product / UX Engineer - NLP (m/f/d)",NA,"f","U158"
"Senior AI Researcher - NLP m/f/d",NA,"f","U159"
" Shop Manager - France",NA,"b","U160"
"Lead Backend Engineer - Deep Learning",NA,"a","U161"
"Senior Product Analyst - Checkout",NA,"e","U162"
"Junior Online Marketing Manager - New Ventures ",NA,"h","U163"
" Culture Manager - EU M/F/D",NA,"a","U164"
"Junior Reserch Scientist - (Internal Audit) (M/F/D)",69000,"b","U165"
" Growth Hacker - Mobile",NA,"f","U166"
"Lead Marketing Analyst - New Ventures  m/f/d",67000,"b","U167"
"Senior Culture Manager - Global Transformation",67000,"a","U168"
"Junior Manager Innovation Lab - France (M/F/D)",64000,"a","U169"
"Junior Culture Manager - France",NA,"h","U170"
"Lead SEO Marketing Manager - New Ventures ",NA,"a","U171"
"Junior Data Scientist - Deep Learning",NA,"d","U172"
"Junior Online Marketing Manager - New Ventures ",NA,"f","U173"
"Lead AI Researcher - Deep Learning",55000,"d","U174"
" Data Scientist - Supplier Financing",55000,"d","U175"
"Lead SEO Manager (M/F/D)",NA,"c","U176"
"Senior Growth Hacker - New Ventures  (M/F/D)",NA,"f","U177"
"Senior Data Scientist - Supplier Financing M/F/D",58000,"e","U178"
"Junior Reserch Scientist - (Internal Audit) (M/F/D)",NA,"e","U179"
"Lead Big Data Analyst - Pricing Team",NA,"b","U180"
"Senior Manager Innovation Lab - APAC m/f/d",NA,"b","U181"
"Senior Frontend Engineer - (Remote) (m/f/d)",NA,"e","U182"
"Senior Sustainability Manager",NA,"e","U183"
"Lead Manager Policy Affairs - New Ventures M/F/D",NA,"c","U184"
"Lead Performance Marketing Manager - Mobile (M/F/D)",57000,"f","U185"
" Big Data Analyst - (Internal Audit) (M/F/D)",NA,"c","U186"
"Junior Brand Marketing Manager - Mobile (M/F/D)",66000,"h","U187"
"Senior Data Scientist - Supplier Financing M/F/D",NA,"h","U188"
" Product / UX Engineer - NLP",NA,"d","U189"
"Lead AI Researcher - Deep Learning",69000,"a","U190"
"Junior Frontend Engineer - (Remote)",67000,"a","U191"
"Junior Onboarding Manager - New Ventures (M/F/D)",NA,"d","U192"
"Lead Product / UX Engineer - Pricing",NA,"f","U193"
" Offline Marketing Manager - (Remote)",60000,"a","U194"
"Junior Culture Manager - France",NA,"b","U195"
" Software Developer - (Remote) (M/F/D)",NA,"b","U196"
" Brand Manager (m/f/d)",50000,"h","U197"
" Brand Marketing Manager - (Remote)",59000,"c","U198"
" Manager Policy Affairs - APAC",NA,"h","U199"
"Senior Manager Policy Affairs - France (m/f/d)",66000,"h","U200"
" Manager Policy Affairs - APAC",NA,"e","U201"
" Onboarding Manager - New Ventures",NA,"a","U202"
"Senior Operations Manager - APAC (M/F/D)",NA,"e","U203"
"Junior Software Engineer",NA,"h","U204"
"Junior Brand Marketing Manager - Mobile (M/F/D)",NA,"h","U205"
" Software Developer - (Remote) (M/F/D)",NA,"g","U206"
" Performance Marketing Manager - Mobile m/f/d",67000,"d","U207"
"Junior Manager Innovation Lab - France (M/F/D)",54000,"c","U208"
"Senior SEO Marketeer - (Remote)",NA,"d","U209"
"Lead Brand Marketing Manager - New Ventures  m/f/d",NA,"a","U210"
" Data Consultant - NLP",NA,"g","U211"
"Senior Manager Policy Affairs - France (m/f/d)",NA,"e","U212"
"Lead Data Science Manager - APAC",58000,"g","U213"
"Lead Online Marketing Manager - (Remote) M/F/D",69000,"d","U214"
"Senior Product Owner - NLP",NA,"e","U215"
"Junior SEO Marketing Manager - New Ventures  (m/f/d)",NA,"c","U216"
"Senior AI Researcher - NLP m/f/d",51000,"h","U217"
" Frontend Engineer - Deep Learning (m/f/d)",55000,"e","U218"
"Junior SEO Manager - New Ventures ",NA,"e","U219"
" Software Engineer - (Remote)",NA,"c","U220"
"Lead Online Marketing Manager - (Remote) M/F/D",NA,"b","U221"
" SEO Marketing Manager m/f/d",NA,"a","U222"
"Senior SEO Marketeer - (Remote)",NA,"g","U223"
" Business Development Manager - EU",NA,"e","U224"
" Backend Developer (m/f/d)",50000,"d","U225"
"Senior Growth Hacker - New Ventures  (M/F/D)",NA,"d","U226"
"Senior Brand Manager - (Remote)",NA,"a","U227"
" UI Designer m/f/d",52000,"f","U228"
"Senior SEO Marketing Manager - (Remote)",NA,"h","U229"
"Junior Backend Developer M/F/D",51000,"c","U230"
"Senior Big Data Analyst - (Internal Audit) (M/F/D)",51000,"b","U231"
"Senior Online Marketing Manager - Mobile M/F/D",NA,"g","U232"
"Lead Data Science Manager - APAC",NA,"c","U233"
"Senior Onboarding Manager (m/f/d)",70000,"e","U234"
"Junior SEO Marketing Manager - New Ventures  (m/f/d)",NA,"c","U235"
" Shop Manager - France",NA,"e","U236"
"Lead Backend Developer - Deep Learning",64000,"c","U237"
"Junior Brand Manager - (Remote) m/f/d",52000,"a","U238"
"Senior Sustainability Manager",NA,"c","U239"
"Junior Backend Developer M/F/D",NA,"e","U240"
"Lead Software Engineer - Deep Learning M/F/D",NA,"c","U241"
" SEO Marketing Manager m/f/d",NA,"b","U242"
"Senior SEO Manager - (Remote) (m/f/d)",NA,"c","U243"
" Performance Marketing Manager - Mobile m/f/d",NA,"f","U244"
"Lead Big Data Analyst - Pricing Team",59000,"g","U245"
"Senior Manager Innovation Lab - APAC m/f/d",NA,"e","U246"
" Big Data Analyst - (Internal Audit) (M/F/D)",NA,"a","U247"
"Junior Marketing Analyst - (Remote)",NA,"d","U248"
"Junior UI Designer - (Remote)",60000,"f","U249"
"Junior Business Development Manager - France",NA,"h","U250"
"Senior AI Researcher - NLP m/f/d",NA,"e","U251"
" Sustainability Manager - APAC",NA,"h","U252"
"Senior Shop Manager - New Ventures",63000,"a","U253"
"Senior UI Designer",NA,"f","U254"
"Lead Backend Engineer - Deep Learning",65000,"d","U255"
"Lead Offline Marketing Manager - New Ventures  m/f/d",NA,"a","U256"
"Junior Manager Policy Affairs - France",59000,"b","U257"
"Lead Data Analyst - Pricing Team (m/f/d)",NA,"c","U258"
"Lead Online Marketing Manager - (Remote) M/F/D",NA,"f","U259"
"Senior Marketing Analyst - New Ventures ",NA,"d","U260"
"Lead UI Designer - (Remote)",55000,"b","U261"
"Junior Data Science Manager (m/f/d)",NA,"f","U262"
"Junior Frontend Engineer - (Remote)",57000,"c","U263"
"Lead Data Science Manager - APAC",NA,"h","U264"
"Junior Sustainability Manager - France",NA,"b","U265"
"Lead Frontend Engineer",NA,"h","U266"
" Software Developer - (Remote) (M/F/D)",NA,"g","U267"
" Brand Manager (m/f/d)",51000,"g","U268"
"Senior SEO Manager - (Remote) (m/f/d)",68000,"h","U269"
"Lead Backend Developer - Deep Learning",NA,"d","U270"
"Junior Machine Learning Engineer - Supplier Financing",NA,"a","U271"
"Junior Performance Marketing Manager - (Remote)",58000,"b","U272"
" Marketing Analyst - New Ventures ",63000,"b","U273"
" Shop Manager - France",NA,"g","U274"
" Manager Policy Affairs - APAC",NA,"h","U275"
" Data Scientist - Supplier Financing",NA,"h","U276"
"Lead AI Researcher - Deep Learning",NA,"c","U277"
"Senior Growth Marketing Manager - (Remote)",NA,"b","U278"
"Senior Marketing Manager - New Ventures ",NA,"b","U279"
"Junior Big Data Analyst - Pricing & Forecasting (M/F/D)",NA,"h","U280"
" Manager Policy Affairs - APAC",54000,"c","U281"
" SEO Marketeer - New Ventures ",NA,"g","U282"
"Senior SEO Marketing Manager - (Remote)",62000,"d","U283"
" Product / UX Engineer - NLP",NA,"e","U284"
"Junior Brand Marketing Manager - Mobile (M/F/D)",67000,"a","U285"
"Lead Backend Developer - Deep Learning",NA,"c","U286"
"Junior Product Analyst - NLP",NA,"e","U287"
"Senior Online Marketing Manager - Mobile M/F/D",NA,"e","U288"
"Senior Product Consultant - Pricing m/f/d",58000,"d","U289"
" Sustainability Manager - APAC",NA,"c","U290"
"Senior Growth Marketing Manager - (Remote)",NA,"a","U291"
" Brand Manager (m/f/d)",NA,"b","U292"
"Junior Culture Manager - France",NA,"d","U293"
"Lead Data Consultant - Supplier Financing m/f/d",NA,"e","U294"
" Backend Engineer - (Remote)",NA,"f","U295"
"Junior Data Consultant - (Internal Audit)",NA,"c","U296"
" Product / UX Engineer - NLP",64000,"c","U297"
"Junior Data Consultant - (Internal Audit)",65000,"f","U298"
" Frontend Engineer - Deep Learning (m/f/d)",69000,"f","U299"
" Product Analyst - Pricing & Forecasting (M/F/D)",NA,"h","U300"
" Product Analyst - Pricing & Forecasting (M/F/D)",57000,"e","U301"
"Lead Sustainability Manager - New Ventures",68000,"c","U302"
"Lead Product Manager -  Mobile",NA,"a","U303"
" UI Designer m/f/d",NA,"a","U304"
"Junior Culture Manager - France",66000,"d","U305"
" Marketing Manager - (Remote) m/f/d",60000,"g","U306"
"Lead SEO Marketing Manager - New Ventures ",NA,"c","U307"
"Lead Backend Developer - Deep Learning",68000,"g","U308"
"Senior Online Marketing Manager - Mobile M/F/D",61000,"d","U309"
" Product Owner - Checkout",NA,"b","U310"
"Junior UI Designer - (Remote)",NA,"f","U311"
" Shop Manager - France",NA,"e","U312"
" Backend Developer (m/f/d)",NA,"f","U313"
"Senior Software Developer - (Remote)",NA,"e","U314"
"Junior UI Designer - (Remote)",NA,"f","U315"
" Data Scientist - Supplier Financing",NA,"b","U316"
"Junior SEO Marketeer - (Remote)",NA,"b","U317"
"Senior Product Analyst - Checkout",56000,"h","U318"
" SEO Manager m/f/d",NA,"g","U319"
"Senior Shop Manager - New Ventures",64000,"f","U320"
" Performance Marketing Manager - Mobile m/f/d",NA,"f","U321"
"Senior Sustainability Manager",NA,"h","U322"
" SEO Marketeer - New Ventures ",NA,"b","U323"
"Junior Manager Innovation Lab - France (M/F/D)",NA,"f","U324"
" Data Analyst - (Remote) m/f/d",NA,"d","U325"
"Junior Data Scientist - Deep Learning",NA,"a","U326"
"Junior Marketing Analyst - (Remote)",NA,"e","U327"
"Lead Growth Marketing Manager - New Ventures  (M/F/D)",NA,"e","U328"
"Senior Product Manager -  Mobile",NA,"a","U329"
"Junior Manager Policy Affairs - France",64000,"d","U330"
"Junior Growth Hacker - New Ventures ",NA,"h","U331"
"Senior Onboarding Manager (m/f/d)",61000,"c","U332"
"Junior Product Owner - NLP",69000,"f","U333"
"Lead Online Marketing Manager - (Remote) M/F/D",NA,"a","U334"
"Senior Software Engineer",NA,"b","U335"
"Junior Onboarding Manager - New Ventures (M/F/D)",NA,"d","U336"
"Lead Online Marketing Manager - (Remote) M/F/D",NA,"g","U337"
"Junior SEO Marketeer - (Remote)",NA,"e","U338"
"Senior AI Researcher - NLP m/f/d",53000,"g","U339"
"Senior Data Scientist - Supplier Financing M/F/D",NA,"b","U340"
"Senior Frontend Engineer - (Remote) (m/f/d)",NA,"a","U341"
" Online Marketing Manager",NA,"g","U342"
" SEO Marketeer - New Ventures ",52000,"f","U343"
"Lead Product / UX Engineer - Pricing",NA,"e","U344"
"Junior Manager Policy Affairs - France",NA,"g","U345"
"Junior Software Developer",NA,"a","U346"
"Junior SEO Marketeer - (Remote)",NA,"c","U347"
"Senior Software Engineer",NA,"b","U348"
"Lead Product Analyst - NLP",60000,"a","U349"
" Marketing Manager - (Remote) m/f/d",NA,"e","U350"
"Senior Offline Marketing Manager - New Ventures  (M/F/D)",NA,"f","U351"
"Senior Backend Developer m/f/d",NA,"c","U352"
" Manager Policy Affairs - APAC",58000,"e","U353"
"Junior Onboarding Manager - New Ventures (M/F/D)",64000,"c","U354"
"Senior AI Researcher - NLP m/f/d",56000,"h","U355"
"Lead Product Consultant - NLP (m/f/d)",NA,"c","U356"
" Marketing Manager - (Remote) m/f/d",NA,"e","U357"
"Lead Brand Marketing Manager - New Ventures  m/f/d",57000,"b","U358"
"Senior Reserch Scientist - NLP",52000,"a","U359"
" Software Developer - (Remote) (M/F/D)",NA,"a","U360"
"Senior Data Analyst - Pricing Team M/F/D",NA,"e","U361"
"Junior Culture Manager - France",NA,"c","U362"
"Senior Product / UX Engineer - Pricing (M/F/D)",NA,"f","U363"
" Big Data Analyst - (Internal Audit) (M/F/D)",NA,"h","U364"
"Junior Performance Marketing Manager - (Remote)",NA,"g","U365"
" Culture Manager - EU M/F/D",NA,"c","U366"
" Software Developer - (Remote) (M/F/D)",NA,"g","U367"
"Junior Data Scientist - Deep Learning",NA,"a","U368"
"Senior Big Data Analyst - (Internal Audit) (M/F/D)",65000,"c","U369"
"Junior Marketing Manager - New Ventures ",63000,"b","U370"
" AI Researcher - Supplier Financing",64000,"b","U371"
" Product Analyst - Pricing & Forecasting (M/F/D)",58000,"f","U372"
"Senior Marketing Analyst - New Ventures ",NA,"f","U373"
"Senior Product Consultant - Pricing m/f/d",66000,"f","U374"
"Junior Product / UX Engineer - NLP (m/f/d)",NA,"a","U375"
"Senior Marketing Manager - New Ventures ",NA,"e","U376"
"Lead SEO Manager (M/F/D)",NA,"h","U377"
"Lead Backend Engineer - Deep Learning",NA,"a","U378"
"Senior UI Designer",54000,"g","U379"
"Junior AI Researcher - Pricing & Forecasting",NA,"e","U380"
"Lead Data Analyst - Pricing Team (m/f/d)",NA,"a","U381"
"Lead Product Consultant - NLP (m/f/d)",NA,"a","U382"
"Lead Backend Developer - Deep Learning",NA,"g","U383"
"Lead Reserch Scientist - Pricing & Forecasting",51000,"h","U384"
"Senior Data Scientist - Supplier Financing M/F/D",63000,"e","U385"
"Lead Manager Policy Affairs - New Ventures M/F/D",NA,"b","U386"
"Junior Brand Manager - (Remote) m/f/d",51000,"h","U387"
" Big Data Analyst - (Internal Audit) (M/F/D)",53000,"g","U388"
"Junior Software Engineer",NA,"g","U389"
"Senior SEO Manager - (Remote) (m/f/d)",63000,"e","U390"
"Senior Online Marketing Manager - Mobile M/F/D",NA,"h","U391"
"Junior Sustainability Manager - France",52000,"h","U392"
"Senior Offline Marketing Manager - New Ventures  (M/F/D)",NA,"h","U393"
"Lead Brand Manager - New Ventures ",NA,"f","U394"
"Junior Frontend Engineer - (Remote)",NA,"h","U395"
"Senior Backend Developer m/f/d",NA,"a","U396"
" Operations Manager - France",NA,"d","U397"
" Backend Engineer - (Remote)",NA,"g","U398"
"Lead Manager Innovation Lab - New Ventures M/F/D",NA,"b","U399"
"Junior Manager Policy Affairs - France",NA,"f","U400"
" AI Researcher - Supplier Financing",NA,"a","U401"
"Junior Backend Engineer - (Remote)",NA,"b","U402"
"Junior Offline Marketing Manager",NA,"e","U403"
" SEO Manager m/f/d",NA,"d","U404"
" Onboarding Manager - New Ventures",NA,"c","U405"
"Senior Data Analyst - Pricing Team M/F/D",58000,"g","U406"
"Junior Software Engineer",NA,"c","U407"
"Junior Data Science Manager (m/f/d)",67000,"a","U408"
"Senior SEO Marketeer - (Remote)",NA,"f","U409"
"Lead Software Developer - Deep Learning",NA,"b","U410"
" Performance Marketing Manager - Mobile m/f/d",NA,"c","U411"
" Growth Marketing Manager - New Ventures ",NA,"c","U412"
"Junior Sustainability Manager - France",NA,"f","U413"
" Growth Hacker - Mobile",NA,"f","U414"
"Senior Data Science Manager m/f/d",67000,"e","U415"
"Lead Brand Marketing Manager - New Ventures  m/f/d",NA,"e","U416"
"Junior Sustainability Manager - France",NA,"h","U417"
"Lead Performance Marketing Manager - Mobile (M/F/D)",62000,"a","U418"
"Lead SEO Manager (M/F/D)",NA,"b","U419"
" Software Developer - (Remote) (M/F/D)",56000,"e","U420"
" Software Developer - (Remote) (M/F/D)",NA,"d","U421"
" Marketing Analyst - New Ventures ",NA,"b","U422"
"Senior Frontend Engineer - (Remote) (m/f/d)",52000,"a","U423"
" Big Data Analyst - (Internal Audit) (M/F/D)",NA,"d","U424"
"Senior Marketing Analyst - New Ventures ",NA,"h","U425"
"Senior Product Analyst - Checkout",NA,"f","U426"
"Senior Brand Manager - (Remote)",NA,"d","U427"
"Senior Reserch Scientist - NLP",NA,"g","U428"
"Lead Product Manager -  Mobile",NA,"g","U429"
"Lead Onboarding Manager",NA,"a","U430"
"Senior Software Developer - (Remote)",54000,"e","U431"
" SEO Marketeer - New Ventures ",NA,"h","U432"
"Senior Backend Engineer (M/F/D)",68000,"c","U433"
"Lead Product / UX Engineer - Pricing",NA,"h","U434"
"Lead Offline Marketing Manager - New Ventures  m/f/d",NA,"d","U435"
"Lead Machine Learning Engineer - (Remote)",57000,"b","U436"
"Lead Frontend Engineer",51000,"f","U437"
"Senior Growth Marketing Manager - (Remote)",59000,"a","U438"
"Junior Backend Developer M/F/D",NA,"a","U439"
"Senior Product Analyst - Checkout",65000,"h","U440"
"Junior Performance Marketing Manager - (Remote)",NA,"c","U441"
"Senior Software Developer - (Remote)",69000,"h","U442"
" Data Consultant - NLP",NA,"d","U443"
"Senior Software Developer - (Remote)",NA,"g","U444"
"Junior Software Engineer",66000,"f","U445"
"Junior SEO Manager - New Ventures ",NA,"h","U446"
"Senior Shop Manager - New Ventures",53000,"d","U447"
"Lead Manager Policy Affairs - New Ventures M/F/D",NA,"b","U448"
"Lead Data Consultant - Supplier Financing m/f/d",NA,"c","U449"
"Senior Software Developer - (Remote)",63000,"g","U450"
"Lead Machine Learning Engineer - (Remote)",NA,"g","U451"
"Senior Data Consultant - Pricing & Forecasting (M/F/D)",54000,"e","U452"
" SEO Marketing Manager m/f/d",NA,"h","U453"
" Big Data Analyst - (Internal Audit) (M/F/D)",NA,"f","U454"
"Junior Culture Manager - France",NA,"a","U455"
"Lead Big Data Analyst - Pricing Team",56000,"d","U456"
"Lead Marketing Manager - (Remote)",NA,"b","U457"
"Lead Shop Manager - New Ventures",NA,"d","U458"
" Manager Policy Affairs - APAC",NA,"e","U459"
"Junior Growth Marketing Manager - Mobile",NA,"d","U460"
"Senior Machine Learning Engineer - NLP",NA,"b","U461"
"Senior Big Data Analyst - (Internal Audit) (M/F/D)",NA,"d","U462"
"Junior Product Consultant - Pricing M/F/D",68000,"h","U463"
"Junior Software Developer",NA,"c","U464"
"Senior Performance Marketing Manager",52000,"g","U465"
"Junior Business Development Manager - France",NA,"c","U466"
" Performance Marketing Manager - Mobile m/f/d",NA,"b","U467"
" UI Designer m/f/d",NA,"g","U468"
"Lead Brand Marketing Manager - New Ventures  m/f/d",55000,"g","U469"
"Senior Onboarding Manager (m/f/d)",NA,"e","U470"
" Offline Marketing Manager - (Remote)",NA,"h","U471"
"Junior Data Consultant - (Internal Audit)",60000,"a","U472"
"Senior Business Development Manager - EU (M/F/D)",NA,"a","U473"
"Lead Online Marketing Manager - (Remote) M/F/D",61000,"f","U474"
"Lead Machine Learning Engineer - (Remote)",NA,"e","U475"
"Lead Data Consultant - Supplier Financing m/f/d",NA,"h","U476"
"Lead Brand Marketing Manager - New Ventures  m/f/d",NA,"e","U477"
